controller,k,t,reference,y,u,predicted_y0,stage_qp_cost,solve_time_sec,qp_status
linear,78,1.56,0.6,0.5990818089392181,0.5989866250079803,0.5993725298722002,0.2769528589669548,0.03559779201168567,optimal
linear,79,1.58,0.6,0.5990834443029059,0.5989937358644336,0.5993741622377186,0.2769575100527827,0.03552249999484047,optimal
linear,80,1.6,0.6,0.5990846500650117,0.5990036379146262,0.5993754348493704,0.27696176279970924,0.035593792010331526,optimal
linear,81,1.62,0.6,0.5990854717238064,0.599015399622781,0.5993762608374467,0.27696552491178406,0.05106708299717866,optimal
linear,82,1.6400000000000001,0.6,0.5990859636020512,0.5990279081672436,0.5993767482000594,0.27696870416253266,0.03588516599847935,optimal
linear,83,1.6600000000000001,0.6,0.5990861842789986,0.5990401535448995,0.5993769672939019,0.2769712351038417,0.0354983749857638,optimal
linear,84,1.68,0.6,0.5990861920347506,0.5990518971982784,0.5993769223158306,0.27697324562002984,0.03554804201121442,optimal
linear,85,1.7,0.6,0.5990860421966033,0.5990622226019837,0.5993767687514703,0.2769746405205254,0.035527249972801656,optimal
linear,86,1.72,0.6,0.5990857847652826,0.599070783886097,0.5993765656672646,0.276975562551992,0.03620708399103023,optimal
linear,87,1.74,0.6,0.5990854619611317,0.5990780140910701,0.5993762075230569,0.27697610987672694,0.03604012497817166,optimal
linear,88,1.76,0.6,0.5990851085447126,0.5990836305659137,0.5993758416996041,0.2769762854311724,0.0365665830031503,optimal
linear,89,1.78,0.6,0.5990847522584484,0.5990876095056725,0.5993755198813631,0.2769762141167393,0.03895254200324416,optimal
linear,90,1.8,0.6,0.5990844133958316,0.5990905568763831,0.5993751365289949,0.2769759941175027,0.04963808399043046,optimal
linear,91,1.82,0.6,0.5990841061631484,0.599092288968835,0.5993748414848943,0.2769756342977742,0.03630633300053887,optimal
linear,92,1.84,0.6,0.5990838396797273,0.5990929194869089,0.5993746020300343,0.27697517333054067,0.035547500010579824,optimal
linear,93,1.86,0.6,0.599083618008341,0.5990929524459827,0.5993743601111787,0.27697470642155714,0.03553429199382663,optimal
