controller,k,t,reference,y,u,x1_simulator_only,x2_simulator_only,predicted_y0,mpc_cost,solve_time_sec,qp_status
resdynet_ltv,38,152.0,4.0,7.223377042012923,6.5,10.420305215446945,9.86247766022276,2.002943095544635,236.17819450083775,0.04845087497960776,optimal
resdynet_ltv,39,156.0,4.0,9.86247766022276,4.919224526537379,9.945302305532497,12.299129870983961,3.681478775252461,318.83771009715514,0.0501036670175381,optimal
resdynet_ltv,40,160.0,4.0,12.299129870983961,1.1481287885872602,5.777176688289207,13.831943321284411,5.483904608905672,472.187907809361,0.07689541700528935,optimal
resdynet_ltv,41,164.0,4.0,13.831943321284411,0.3999999999999999,2.33493091475955,13.974164536394094,7.538845293563787,662.5489494578366,0.04930120799690485,optimal
resdynet_ltv,42,168.0,4.0,13.974164536394094,0.3999999999999999,0.5629097376233327,12.836708201722564,9.39250307918818,957.2611133529957,0.04854029102716595,optimal
resdynet_ltv,43,172.0,4.0,12.836708201722564,0.3999999999999999,0.08593323290350523,10.845333099725586,10.286414751961075,1564.9309795573029,0.0483525000163354,optimal
resdynet_ltv,44,176.0,4.0,10.845333099725586,0.3999999999999999,0.05809249459301559,8.750769714731952,10.721482923085734,2621.050629224,0.048607957985950634,optimal
resdynet_ltv,45,180.0,4.0,8.750769714731952,0.3999999999999999,0.05760765222554278,6.9015850768446105,10.455661399100338,3316.8650483193164,0.05189737500040792,optimal
resdynet_ltv,46,184.0,4.0,6.9015850768446105,0.3999999999999999,0.05760011865209933,5.31340314891966,9.44021396215348,3466.083417329549,0.05521187500562519,optimal
resdynet_ltv,47,188.0,4.0,5.31340314891966,0.3999999999999999,0.057600001839708884,3.978396927359347,7.6928213741084335,2812.5744948179026,0.051260000007459894,optimal
resdynet_ltv,48,192.0,4.0,3.978396927359347,0.3999999999999999,0.05760000002852477,2.886131011949559,5.930721388301277,1792.8117705964307,0.07680416700895876,optimal
resdynet_ltv,49,196.0,4.0,2.886131011949559,0.3999999999999999,0.05760000000044225,2.023105367033464,4.012746180616559,1144.8487318668501,0.04947712499415502,optimal
resdynet_ltv,50,200.0,4.0,2.023105367033464,0.3999999999999999,0.05760000000000682,1.371624468018319,2.6885387388862925,963.2223495703245,0.0478857499838341,optimal
resdynet_ltv,51,204.0,4.0,1.371624468018319,0.3999999999999999,0.057600000000000075,0.9084159803243242,1.3217000440188418,787.1755002816112,0.04824000000371598,optimal
resdynet_ltv,52,208.0,4.0,0.9084159803243242,0.7280929029901264,0.1795672673972684,0.7844235368947756,1.0560450174212352,684.2225423302403,0.04933420801535249,optimal
resdynet_ltv,53,212.0,4.0,0.7844235368947756,2.424485429982514,1.293319008179609,1.4104286518955713,1.1154951908134096,626.5770186050195,0.04878262500278652,optimal
resdynet_ltv,54,216.0,4.0,1.4104286518955713,6.5,5.39319920993241,3.1942684719751804,1.0423126244151328,589.1060762144309,0.05042779099312611,optimal
