controller,k,t,reference,y,u,tracking_error,x1_simulator_only,x2_simulator_only,mpc_cost,qp_status,solve_time_sec
linear_mpc,88,88.0,0.3050943596387241,0.28938823402551617,0.3647321502955712,-0.015706125613207944,0.04893415014688016,0.272674792976061,0.002079286011766701,optimal,0.008492083026794717
linear_mpc,89,89.0,0.290577994502551,0.272674792976061,0.35824815599690674,-0.017903201526489998,0.04706516697942549,0.2572279484339622,0.0022056153952178764,optimal,0.008748916006879881
linear_mpc,90,90.0,0.27679250643689424,0.2572279484339622,0.35287120939381694,-0.019564558002932053,0.045519762300101345,0.24314314016515204,0.0023016935171952984,optimal,0.008536125009413809
linear_mpc,91,91.0,0.2638384264455692,0.24314314016515204,0.3486683057217034,-0.02069528628041717,0.04429988728290163,0.2304990726482413,0.00236363677695481,optimal,0.008652417018311098
linear_mpc,92,92.0,0.25181534386108473,0.2304990726482413,0.34570113549305503,-0.021316271212843435,0.04340778153964921,0.2193570030826298,0.002388545594145197,optimal,0.008769666019361466
linear_mpc,93,93.0,0.24082108563697424,0.2193570030826298,0.3440253904631104,-0.021464082554344455,0.04284647524754514,0.20976086522116036,0.0023746668866400475,optimal,0.008679541002493352
linear_mpc,94,94.0,0.23095085341252597,0.20976086522116036,0.34368975265859436,-0.02118998819136561,0.04262017180653081,0.2017382140399911,0.0023215286839702995,optimal,0.00864708298468031
linear_mpc,95,95.0,0.22229632338743766,0.2017382140399911,0.3447347784271242,-0.020558109347446563,0.04273451362022555,0.19530190099050615,0.0022300384369280603,optimal,0.008538875001249835
linear_mpc,96,96.0,0.21494471489332323,0.19530190099050615,0.34719203854226965,-0.01964281390281708,0.04319677883674715,0.19045235862323123,0.002102544103212406,optimal,0.00853400002233684
linear_mpc,97,97.0,0.20897783441135756,0.19045235862323123,0.35108357677478935,-0.018525475788126328,0.04401601953126191,0.18718033448408264,0.0019428572594420409,optimal,0.008499167015543208
linear_mpc,98,98.0,0.2044711026509224,0.18718033448408264,0.356421352024355,-0.01729076816683975,0.04520307665735718,0.18546983308315212,0.0017562314126125902,optimal,0.008456832991214469
linear_mpc,99,99.0,0.2014925731620662,0.18546983308315212,0.363206418011889,-0.016022740078914077,0.04677040394264003,0.18530095546682726,0.0015492872055600283,optimal,0.008478290983475745
linear_mpc,100,100.0,0.2001019517929527,0.18530095546682726,0.3714281247641323,-0.014800996326125443,0.04873172554185247,0.1866523557918015,0.0013298828333510374,optimal,0.008470374974422157
linear_mpc,101,101.0,0.20034962710922422,0.1866523557918015,0.3810636081109292,-0.01369727131742271,0.051101580478061764,0.1895031381655279,0.0011069315444503516,optimal,0.008458791999146342
linear_mpc,102,102.0,0.20227572265134292,0.1895031381655279,0.392077394482072,-0.012772584485815003,0.05389474373999776,0.19383410037487822,0.0008901672505734042,optimal,0.008468499989248812
linear_mpc,103,103.0,0.20590918260359284,0.19383410037487822,0.40442098440112734,-0.012075082228714618,0.057125503495222156,0.199628286856947,0.0006898613126341348,optimal,0.008483999990858138
linear_mpc,104,104.0,0.21126690306885665,0.199628286856947,0.41803253299533494,-0.011638616211909647,0.06080681758401647,0.20687087926960354,0.000516496813105509,optimal,0.008487749990308657
linear_mpc,105,105.0,0.21835292167023215,0.20687087926960354,0.43283672024445924,-0.011482042400628611,0.06494938539716859,0.21554851530166183,0.00038040823155429515,optimal,0.008434832998318598
linear_mpc,106,106.0,0.2271576786172856,0.21554851530166183,0.44874476045790845,-0.011609163315623783,0.0695606530952554,0.2256481546975213,0.00029139623594673294,optimal,0.008411415998125449
linear_mpc,107,107.0,0.23765736266428128,0.2256481546975213,0.4656544977340387,-0.012009207966759972,0.07464376500570943,0.2371556105290342,0.00025833005975583735,optimal,0.008461791003355756
linear_mpc,108,108.0,0.24981335553310893,0.2371556105290342,0.48345062460874494,-0.012657745004074739,0.08019648988362867,0.25005385522974394,0.00028875200770349017,optimal,0.008583625021856278
linear_mpc,109,109.0,0.26357178835814904,0.25005385522974394,0.5020050905486935,-0.013517933128405102,0.08621016394467658,0.26432120278373306,0.00038849928943066097,optimal,0.008506625017616898
linear_mpc,110,110.0,0.27886322351782794,0.26432120278373306,0.5211777117578373,-0.014542020734094885,0.0926686893981882,0.27992945565165195,0.0005613587410543016,optimal,0.008792375010671094
linear_mpc,111,111.0,0.2956024748328745,0.27992945565165195,0.5408169445601965,-0.015673019181222547,0.09954761761496617,0.29684208560406106,0.0008087708255321228,optimal,0.009687250014394522
linear_mpc,112,112.0,0.31368857852025334,0.29684208560406106,0.5607607999173336,-0.01684649291619228,0.10681334491251952,0.31501249813575866,0.0011295996831826782,optimal,0.009911707980791107
linear_mpc,113,113.0,0.33300492648201535,0.31501249813575866,0.5808379205195733,-0.017992428346256695,0.11442245662273959,0.3343824174614021,0.0015199847261419576,optimal,0.009267249988624826
linear_mpc,114,114.0,0.35341957246940553,0.3343824174614021,0.6008688517802115,-0.019037155008003404,0.12232126031901261,0.3548804232394612,0.001973286568320522,optimal,0.012970040988875553
linear_mpc,115,115.0,0.37478572038645863,0.3548804232394612,0.6206675069240324,-0.019905297146997458,0.1304455449108894,0.37642066626470877,0.0024801371362021558,optimal,0.029832375003024936
linear_mpc,116,116.0,0.396942402478711,0.37642066626470877,0.6400427983121394,-0.020521736214002217,0.13872059359187738,0.39890178533365983,0.003028600977024066,optimal,0.008840708003845066
linear_mpc,117,117.0,0.41971535338948235,0.39890178533365983,0.6588004124180782,-0.020813568055822518,0.14706147362224617,0.42220604265730444,0.003604451229975861,optimal,0.00853704201290384
linear_mpc,118,118.0,0.4429180840599556,0.42220604265730444,0.6767447272810047,-0.02071204140265115,0.15537362560939086,0.4461986931248844,0.004191558807200349,optimal,0.008503624994773418
linear_mpc,119,119.0,0.4663531572054787,0.4461986931248844,0.6936808757688023,-0.020154464080594292,0.16355377325758047,0.47072760347207787,0.00477238760577498,optimal,0.008487540995702147
linear_mpc,120,120.0,0.48981366362899104,0.47072760347207787,0.7094169405335984,-0.019086060156913165,0.17149116718185056,0.4956231387505351,0.005328583088128515,optimal,0.008772250002948567
linear_mpc,121,121.0,0.5130848959476958,0.4956231387505351,0.723766249943806,-0.0174617571971607,0.1790691655952344,0.5206983337912517,0.005841636643558857,optimal,0.008724708022782579
linear_mpc,122,122.0,0.5359462134305466,0.5206983337912517,0.7365497449625247,-0.015247879639294859,0.18616714515446695,0.5457493670585732,0.0062936033776546125,optimal,0.008646708010928705
linear_mpc,123,123.0,0.5581730885963859,0.5457493670585732,0.7475983963005519,-0.012423721537812682,0.19266272781769467,0.5705563546966108,0.006667846260561058,optimal,0.008665375004056841
linear_mpc,124,124.0,0.5795393230356548,0.5705563546966108,0.7567556520592589,-0.008982968339043995,0.19843430107599122,0.5948844839382113,0.006949775527279311,optimal,0.008676917001139373
linear_mpc,125,125.0,0.599819416627837,0.5948844839382113,0.7638798860953571,-0.004934932689625748,0.20336379707074573,0.6184855064690076,0.007127549608283326,optimal,0.008664249995490536
linear_mpc,126,126.0,0.6187910709730812,0.6184855064690076,0.7688468083617277,-0.0003055645040735966,0.2073396821981975,0.6410996130147548,0.007192702888468431,optimal,0.008636541024316102
linear_mpc,127,127.0,0.6362378044858006,0.6410996130147548,0.771551798497758,0.004861808528954237,0.21026009541329593,0.6624577104581877,0.007140666099000589,optimal,0.008653500000946224
linear_mpc,128,128.0,0.6519516532617533,0.6624577104581877,0.7719121281039028,0.010506057196434382,0.21203606111676485,0.6822841226896282,0.006971147177533728,optimal,0.008647290989756584
linear_mpc,129,129.0,0.6657359285841163,0.6822841226896282,0.7698690370628964,0.016548194105511893,0.21259468981986615,0.7002997361472177,0.006688344284506003,optimal,0.008641166001325473
linear_mpc,130,130.0,0.6774079988386298,0.7002997361472177,0.765389624540384,0.022891737308587956,0.21188226597552837,0.7162256099805206,0.006300968502962047,optimal,0.008651291980640963
linear_mpc,131,131.0,0.6868020607269825,0.7162256099805206,0.7584685120552495,0.029423549253538184,0.2098671086432423,0.7297870682962014,0.005822061388318615,optimal,0.008618166990345344
linear_mpc,132,132.0,0.6937718620681274,0.7297870682962014,0.7491292376587442,0.03601520622807408,0.20654207885794354,0.7407182876395363,0.0052686016072758125,optimal,0.008597958978498355
linear_mpc,133,133.0,0.6981933362281063,0.7407182876395363,0.7374253439655352,0.04252495141142998,0.20192659860064974,0.7487673863801949,0.004660905081085639,optimal,0.008596958010457456
linear_mpc,134,134.0,0.6999671063902536,0.7487673863801949,0.7234411246838924,0.0488002799899413,0.19606804036359182,0.7537020132234813,0.004021833987062694,optimal,0.008621916989795864
linear_mpc,135,135.0,0.6990208165391405,0.7537020132234813,0.7072919946564017,0.054681196684340794,0.1890423444513289,0.7553154183553975,0.0033758411766880844,optimal,0.00863887497689575
linear_mpc,136,136.0,0.6953112452517848,0.7553154183553975,0.6891244503218513,0.060004173103612723,0.18095372566704399,0.7534329711696205,0.0027478873876697245,optimal,0.008615834027295932
linear_mpc,137,137.0,0.6888261582339761,0.7534329711696205,0.6691155924090801,0.06460681293564441,0.17193334483700462,0.7479190614282679,0.0021622783812426547,optimal,0.00860933298827149
linear_mpc,138,138.0,0.6795858560692303,0.7479190614282679,0.6474721890674107,0.06833320535903764,0.16213684652637889,0.7386842842027636,0.0016414771922291691,optimal,0.008603290974861011
linear_mpc,139,139.0,0.6676443749179646,0.7386842842027636,0.6244292635461646,0.07103990928479897,0.1517407049923678,0.7256927608899179,0.0012049524365689423,optimal,0.008605541021097451
linear_mpc,140,140.0,0.6530902999623749,0.7256927608899179,0.6002481959536521,0.07260246092754297,0.14093737886661964,0.7089693868806398,0.0008681265049062576,optimal,0.008648291986901313
linear_mpc,141,141.0,0.6360471542760961,0.7089693868806398,0.575214335082971,0.07292223260454367,0.12992935413064507,0.6886067197341796,0.0006414870012294039,optimal,0.008606041985331103
linear_mpc,142,142.0,0.616673329533747,0.6886067197341796,0.5496341246049127,0.07193339020043266,0.1189222559077095,0.6647711305807882,0.000529920655408789,optimal,0.00859287500497885
linear_mpc,143,143.0,0.5951615295776748,0.6647711305807882,0.5238317571144862,0.06960960100311342,0.10811732984761308,0.63770773995791,0.0005323210338519306,optimal,0.008578499982832
linear_mpc,144,144.0,0.5717377033268,0.63770773995791,0.498145378122327,0.06597003663111001,0.09770372469417078,0.6077435566168033,0.0006415097600814824,optimal,0.00852558299084194
linear_mpc,145,145.0,0.5466594498284907,0.6077435566168033,0.4729228700580773,0.061084106788312664,0.08785113215155933,0.5752881504329741,0.0008444959130568635,optimal,0.008597333013312891
linear_mpc,146,146.0,0.5202138853844137,0.5752881504329741,0.4485172548904398,0.05507426504856039,0.07870343220342796,0.5408311432492541,0.001123080343100649,optimal,0.00855233400943689
linear_mpc,147,147.0,0.49271497057211977,0.5408311432492541,0.42528176357347924,0.048116172677134306,0.07037401724887904,0.5049358263075391,0.001454791660762634,optimal,0.008526707999408245
linear_mpc,148,148.0,0.46450030356299116,0.5049358263075391,0.40356463025035705,0.040435522744547925,0.06294339101997078,0.46822834352780623,0.0018141196564563913,optimal,0.008502542012138292
linear_mpc,149,149.0,0.43592739531098595,0.46822834352780623,0.38370367803903604,0.03230094821682028,0.056459434959803864,0.43138214112280115,0.0021739911029024536,optimal,0.008776041999226436
linear_mpc,150,150.0,0.4073694518418439,0.43138214112280115,0.36602077154334445,0.024012689280957233,0.05094041287720878,0.3950977795999267,0.0025074136241964454,optimal,0.00869554199744016
linear_mpc,151,151.0,0.37921069887502806,0.3950977795999267,0.3508162193860353,0.01588708072489864,0.04638039490743854,0.3600787091623863,0.0027891970080917844,optimal,0.00865404200158082
